sp,Pre-M to M ,Post-orb. W ,Nasal to Occ. lobe ,L Palate ,Condyl. L ,L Ptery. Pl. ,N.inerzygo,Country
minor,3.49,4.58,10.68,4.2,9.19,2.42,2.63,Haiti
minor,3.55,4.56,10.67,4.27,9.02,2.42,2.55,Haiti
minor,3.57,4.44,11.08,4.28,9.27,2.47,2.71,Haiti
minor,3.79,4.75,11.58,4.18,9.09,2.3,2.75,Haiti
minor,3.59,4.7,11,4.31,8.76,2.3,2.7,Haiti
minor,3.33,4.44,10.71,4.23,9.14,2.19,2.62,Haiti
minor,3.61,4.61,11.15,4.34,9.3,2.37,2.65,Haiti
minor,3.53,4.66,11.07,4.31,8.9,2.26,2.7,Haiti
minor,3.69,4.32,11.43,4.46,9.76,2.39,2.76,Haiti
minor,3.4,4.5,10.87,4.12,8.9,2.12,2.52,Haiti
minor,3.61,4.51,11.25,4.69,9.48,2.4,2.7,Haiti
minor,3.51,4.26,10.67,4.69,9.48,2.34,2.61,Haiti
minor,3.57,4.48,11.09,4.26,8.92,2.45,2.57,Haiti
minor,3.47,4.47,11.09,4.08,9.11,2.33,2.75,Haiti
minor,3.53,4.61,10.66,4.36,9.12,2.37,2.61,Haiti
minor,3.49,4.77,10.66,4.32,9.19,2.06,2.7,Haiti
minor,3.45,4.65,10.78,4.32,9.33,2.21,2.64,Haiti
minor,3.52,4.71,10.78,4.21,9.19,2.23,2.52,Haiti
minor,3.48,4.73,11.11,4.26,9.23,2.31,2.75,Haiti
minor,3.46,4.44,10.86,4.23,8.92,2.15,2.49,Haiti
minor,3.47,4.52,10.72,4.53,9.23,2.16,2.61,Haiti
minor,3.64,4.51,11.25,4.16,9.07,2.14,2.59,Haiti
minor,3.33,4.63,10.57,4.31,9.19,2.12,2.49,Haiti
minor,3.69,4.61,11.36,4.64,9.48,2.45,2.67,Haiti
minor,3.48,4.55,10.65,4.05,8.98,2.15,2.59,Haiti
minor,3.53,4.41,11.28,4.33,9.53,2.3,2.71,Haiti
minor,3.49,4.58,11.07,4.2,9.14,2.21,2.57,Haiti
minor,3.64,4.65,11.04,4.33,9.28,2.31,2.56,Haiti
minor,3.68,4.61,11.08,4.45,9.46,2.32,2.62,Haiti
minor,3.69,4.62,11.25,4.2,9.41,2.27,2.73,Haiti
minor,3.37,4.19,10.57,4.37,9.28,2.3,2.62,Haiti
minor,3.49,4.5,11.09,4.05,9.15,2.25,2.65,Haiti
minor,3.56,4.47,11.04,4.24,9.21,2.3,2.63,Haiti
minor,3.33,4.47,10.57,4.26,8.9,2.19,2.61,Haiti
minor,3.49,4.42,10.78,4.23,9.28,2.32,2.78,Haiti
minor,3.48,4.47,10.57,4.04,8.67,2.23,2.61,Haiti
minor,3.48,4.5,11.02,4.07,9.07,2.2,2.57,Haiti
minor,3.65,4.32,11.28,4.1,8.83,2.19,2.7,Haiti
minor,3.68,4.6,11.22,4.22,9.2,2.24,2.7,Haiti
minor,3.69,4.65,11.36,4.64,9.65,2.24,2.68,Haiti
minor,3.57,4.58,11,4.35,9.28,2.25,2.7,Haiti
minor,3.59,4.47,11.15,4.27,9.3,2.14,2.6,Haiti
minor,3.49,4.52,10.78,4.35,9.21,2.28,2.69,Haiti
minor,3.52,4.54,10.66,4.16,9.31,2.23,2.7,Haiti
minor,3.65,4.64,10.99,4.18,9.41,2.2,2.69,Haiti
minor,3.57,4.48,11.08,4.27,9.39,2.3,2.65,Haiti
minor,3.79,4.51,11.43,4.64,9.53,2.29,2.63,Haiti
minor,3.5,4.61,10.68,4.23,8.83,2.23,2.57,Haiti
minor,3.64,4.55,11.07,4.17,8.9,2.22,2.7,Haiti
minor,3.61,4.6,11,4.17,9.2,2.26,2.6,Haiti
minor,3.53,4.36,11.38,4.19,9.25,2.42,2.75,Haiti
minor,3.49,4.57,10.8,4.43,9.11,2.14,2.61,Haiti
minor,3.61,4.6,11.08,4.56,9.38,2.3,2.63,Haiti
minor,3.51,4.69,11.04,4.29,9.46,2.48,2.76,Haiti
minor,3.79,4.56,11.43,4.36,9.3,2.32,2.73,Haiti
minor,3.49,4.69,11.11,4.37,9.23,2.22,2.7,Haiti
minor,3.33,4.46,10.63,4.07,8.83,2.19,2.49,Haiti
minor,3.55,4.55,10.8,4.26,8.9,2.18,2.68,Haiti
minor,3.65,4.44,11,4.2,9.22,2.19,2.62,Haiti
minor,3.46,4.7,11.02,4.26,9.26,2.22,2.6,Haiti
minor,3.51,4.47,11.03,4.23,9.3,2.28,2.63,Haiti
minor,3.44,4.72,11.07,4.01,9.07,2.23,2.7,Haiti
minor,3.55,4.47,10.68,4.07,8.87,2.31,2.41,Haiti
minor,3.48,4.57,10.67,4.06,8.87,2.19,2.7,Haiti
minor,3.4,4.32,10.57,4.09,8.76,2.09,2.48,Haiti
minor,3.45,4.4,10.87,4.14,9.11,2.18,2.69,Haiti
minor,3.24,4.45,10.41,4.04,8.7,2.09,2.55,Haiti
minor,3.55,4.36,10.91,4.25,9.23,2.37,2.7,Haiti
minor,3.51,4.44,11.07,4.37,9.27,2.29,2.63,Haiti
minor,3.44,4.3,10.63,4.06,9.07,2.11,2.49,Haiti
minor,3.55,4.29,11.28,4.43,9.65,2.19,2.57,Haiti
minor,3.37,4.3,10.58,4.09,9.96,2.2,2.69,Haiti
minor,3.57,4.53,10.96,4.17,9.41,2.18,2.63,Haiti
minor,3.33,4.26,10.72,4.19,9.07,2.19,2.52,Haiti
minor,3.55,4.72,11.28,4.23,9.18,2.17,2.57,Haiti
minor,3.49,4.77,11.03,4.31,9.41,2.34,2.6,Haiti
minor,3.49,4.38,10.56,4.08,9.19,2.19,2.61,Haiti
minor,3.69,4.75,11.1,4.53,9.21,2.38,2.49,Haiti
minor,3.56,4.47,10.86,4.05,8.76,2.15,2.42,Haiti
borealis,3.55,4.48,11.6,4.34,9.82,2.34,2.78,USA
borealis,3.72,4.25,11.64,4.7,9.84,2.33,2.89,USA
borealis,3.51,4.32,11.23,4.18,9.34,2.22,2.61,USA
borealis,3.56,4.43,11.24,4.46,9.48,2.02,2.89,USA
borealis,3.71,4.19,11.68,4.56,10.06,2.38,2.97,USA
borealis,3.56,4.42,11.49,4.29,9.73,2.08,2.82,USA
borealis,3.7,4.56,11.58,4.29,9.84,2.19,2.75,USA
borealis,3.83,4.32,11.72,4.38,9.88,2.33,2.88,USA
borealis,3.75,4.21,11.59,4.28,9.59,2.23,2.75,USA
borealis,3.8,4.48,11.64,4.47,9.6,2.35,2.89,USA
borealis,3.76,4.5,11.93,4.51,10.07,2.47,2.92,USA
borealis,3.48,4.38,11.42,4.18,9.49,2.44,2.85,USA
borealis,3.55,4.37,11.25,4.48,9.61,2.39,2.75,USA
borealis,3.56,4.26,10.67,4.29,9.18,2.09,2.94,USA
borealis,3.9,4.27,11.6,4.61,9.85,2.12,2.99,USA
borealis,3.56,4.48,11.63,4.78,9.88,2.23,2.86,USA
borealis,3.65,4.38,11.82,4.51,9.94,2.23,2.78,USA
borealis,3.68,4.35,11.5,4.75,9.62,2.15,2.86,USA
borealis,3.75,4.24,11.59,4.6,9.78,2.35,2.94,USA
borealis,3.72,4.25,11.6,4.4,9.76,2.27,3.12,USA
borealis,3.55,4.19,11.04,4.61,9.43,2.02,3.12,USA
borealis,3.55,4.33,10.73,4.35,9.34,2.1,2.94,USA
borealis,3.48,4.57,11.57,4.81,9.91,2.46,2.78,USA
borealis,3.55,4.11,11.5,4.8,9.84,2.08,2.78,USA
borealis,3.54,4.43,11.41,4.9,9.61,2.26,2.75,USA
borealis,3.51,4.34,11.5,4.49,9.7,2.26,2.77,USA
borealis,3.49,4.2,11,4.38,9.4,2.15,2.78,USA
borealis,3.75,4.54,11.5,4.71,9.84,2.31,2.9,USA
borealis,3.68,4.21,11.38,4.14,9.05,2.11,2.75,USA
borealis,3.56,4.13,10.72,4.25,8.96,2.17,2.89,USA
borealis,3.33,4.41,10.81,4.21,8.96,2.19,2.58,USA
borealis,3.72,4.36,11.38,4.61,9.31,2.35,2.82,USA
borealis,3.56,4.14,11.01,4.18,9.4,2.23,2.82,USA
borealis,3.56,4.14,11.17,4.45,9.6,2.21,2.75,USA
borealis,3.53,4.1,11.6,4.61,9.58,2.38,2.85,USA
borealis,3.56,4.14,11.38,4.51,9.4,2.1,2.75,USA
borealis,3.49,4.27,10.72,3.78,9.07,2.1,2.78,USA
borealis,3.56,4.45,10.86,4.11,8.9,2.07,2.75,USA
borealis,3.33,4.28,11.14,4.27,9.22,2.2,2.57,USA
borealis,3.48,4.3,11.12,4.45,9.31,2.19,2.85,USA
borealis,3.88,4.41,11.57,4.46,9.58,2.37,2.9,USA
borealis,3.7,4.17,11.34,4.33,9.62,2.15,2.89,USA
borealis,3.54,4.61,11.58,4.45,9.82,2.19,2.78,USA
borealis,3.56,4.1,11.1,4.18,9.05,2.28,2.86,USA
borealis,3.7,4.12,11.59,4.49,9.68,2.15,2.82,USA
borealis,4.08,4.51,11.81,4.86,10,2.36,3.1,USA
borealis,3.72,4.55,11.19,4.26,9.44,2.26,2.88,USA
borealis,3.56,4.36,11.18,4.42,9.36,2.28,2.77,USA
borealis,3.42,4.65,11.58,4.43,9.64,2.24,2.91,USA
borealis,3.51,4.31,11.12,4.14,9.34,2.09,2.78,USA
borealis,3.56,4.3,11.13,4.22,9.05,2.11,2.75,USA
borealis,3.8,4.63,11.01,4.21,9.06,2.26,2.86,USA
borealis,3.65,4.25,11.62,4.29,9.62,2.17,2.75,USA
borealis,3.56,4.3,11.04,4.11,8.9,2.23,2.78,USA
borealis,3.76,4.7,11.99,4.59,9.95,2.69,2.78,USA
borealis,3.8,4.42,11.45,4.27,9.32,2.49,2.78,USA
borealis,3.9,4.28,11.5,4.5,9.65,2.27,2.97,USA
borealis,3.88,4.9,11.73,4.33,9.84,2.24,2.94,USA
borealis,3.72,4.36,11.63,4.64,9.9,2.35,2.73,USA
borealis,3.56,4.49,11.81,4.71,9.92,2.44,2.78,USA
borealis,3.91,4.37,11.87,4.64,9.94,2.45,3.12,USA
borealis,3.8,4.3,11.37,4.54,9.6,2.3,2.88,USA
borealis,4.08,4.28,11.2,4.34,9.55,2.43,3.1,USA
borealis,3.49,4.4,11.1,4.22,9.07,1.99,2.58,USA
borealis,3.91,4.21,11.5,4.51,8.98,2.16,2.75,USA
borealis,3.69,4.38,11.42,4.68,8.98,2.31,2.78,USA
borealis,3.55,4.62,11.36,4.31,9.4,2.24,2.67,USA
borealis,3.33,4.31,11.13,4.61,8.98,2.36,2.58,USA
borealis,3.72,4.37,11.14,4.4,9.55,2.29,2.9,USA
borealis,3.56,4.42,11.15,4.2,9.2,2.21,2.75,USA
borealis,3.55,4.32,10.8,4.07,9.34,2.16,2.75,USA
borealis,3.55,4.18,10.82,4.18,8.96,2.23,2.78,USA
borealis,3.72,4.34,11.36,4.46,9.85,2.51,2.78,USA
borealis,3.53,4.41,11.4,4.51,9.35,2.17,2.86,USA
borealis,3.56,4.24,11.39,4.64,9.58,2.09,2.78,USA
borealis,3.49,4.55,11.28,4.25,9.22,2.08,2.61,USA
borealis,3.33,4.13,11.72,4.7,9.91,2.27,2.61,USA
borealis,3.56,4.14,11.42,4.28,9.62,2.2,2.78,USA
seminolus,3.72,4.15,11.29,4.37,9.32,2.19,2.97,Bermuda
seminolus,3.84,4.36,11.68,4.43,9.42,2.34,2.84,USA
seminolus,3.94,4.22,11.57,4.41,9.67,2.24,2.81,USA
seminolus,3.69,4.6,11.7,4.5,9.75,2.41,2.8,USA
seminolus,3.75,4.19,11.29,4.26,9.45,2.28,2.76,USA
seminolus,3.85,4.23,11.76,4.45,9.76,2.34,2.78,USA
seminolus,3.77,4.21,11.54,4.47,9.8,2.39,2.84,USA
seminolus,3.66,4.34,11.24,4.12,9.45,2.21,2.77,USA
seminolus,3.85,4.18,12.14,4.62,10.2,2.3,2.8,USA
seminolus,3.77,4.47,11.52,4.31,9.46,2.23,2.92,USA
seminolus,3.81,4.27,11.82,4.71,9.81,2.36,2.89,USA
seminolus,3.68,4.46,11.63,4.18,9.9,2.38,2.9,USA
seminolus,3.84,4.44,11.78,4.48,9.94,2.44,2.9,USA
seminolus,3.84,4.32,11.7,4.53,10,2.29,2.81,USA
seminolus,3.65,4.38,11.58,4.51,9.42,2.28,2.8,USA
seminolus,3.75,4.3,11.42,4.34,9.56,2.41,2.71,USA
seminolus,3.81,4.37,12.06,4.49,9.65,2.36,2.98,USA
seminolus,3.84,4.41,11.61,4.32,9.72,2.35,2.78,USA
seminolus,3.67,4.42,11.57,4.38,9.75,2.57,2.66,USA
seminolus,3.58,4.21,11.18,4.09,9.1,2.1,2.75,USA
seminolus,3.62,4.4,11.56,4.68,9.8,2.38,2.89,USA
seminolus,3.28,4.52,11.58,4.45,9.77,2.48,2.89,USA
seminolus,3.55,4.11,11.18,4.24,9.2,2.43,2.65,USA
seminolus,3.55,4.35,10.91,4.13,9.3,2.33,2.75,USA
seminolus,3.73,4.14,11.71,4.19,9.71,2.45,2.84,USA
seminolus,3.81,4.42,11.99,4.76,10,2.53,3.07,USA
seminolus,3.73,4.34,11.69,4.5,9.62,2.31,2.81,USA
seminolus,3.65,4.42,11.4,4.45,9.34,2.22,2.78,USA
seminolus,3.48,4.38,11.28,4.29,9.3,2.36,2.9,USA
seminolus,3.57,4.51,11.18,4.05,8.84,2.24,2.75,USA
seminolus,3.67,4.38,11.52,4.24,9.48,2.26,2.91,USA
seminolus,3.55,4.31,11.13,4.04,9.22,2.22,2.62,USA
seminolus,3.48,4.3,11.18,4.38,9.28,2.2,2.66,USA
seminolus,3.73,4.31,11.73,4.48,9.63,2.23,2.78,USA
seminolus,3.85,4.39,11.68,4.41,9.48,2.25,2.84,USA
seminolus,3.48,4.55,11.14,4.31,9.7,2.36,2.76,USA
seminolus,3.57,4.38,11.28,4.25,9.35,2.35,2.9,USA
seminolus,3.85,4.28,11.75,4.4,9.42,2.38,2.91,USA
seminolus,3.73,4.48,11.39,4.11,9.26,2.31,2.71,USA
seminolus,3.58,4.46,11.41,4.31,9.33,2.32,2.66,USA
seminolus,3.66,4.38,11.07,4.18,9.1,2.28,2.77,USA
seminolus,3.62,4.4,11.39,4.3,9.28,2.29,2.97,USA
seminolus,3.62,4.32,11.28,4.2,9.33,2.21,2.97,USA
seminolus,3.57,4.18,11.24,4.27,9.17,2.18,2.97,USA
seminolus,3.75,4.3,11.45,4.32,9.4,2.26,2.66,USA
seminolus,3.44,4.15,11.07,4.22,9.15,2.16,2.77,USA
seminolus,3.67,4.38,11.61,4.31,9.56,2.52,2.87,USA
seminolus,3.69,4.35,11.5,4.32,9.77,2.12,2.91,USA
seminolus,3.69,4.32,11.68,4.42,9.7,2.41,2.89,USA
seminolus,3.44,4.47,11.07,4.73,10.06,2.36,2.66,USA
seminolus,3.73,4.45,11.72,4.47,9.84,2.4,2.89,USA
seminolus,3.81,4.19,11.85,4.3,9.75,2.35,3.07,USA
seminolus,3.84,4.29,11.78,4.38,9.62,2.44,2.92,USA
seminolus,3.94,4.21,11.41,4.15,9.2,2.32,2.62,USA
seminolus,3.85,4.49,11.66,4.24,9.47,2.17,2.84,USA
seminolus,3.75,4.38,11.45,4.21,9.25,2.2,2.87,USA
seminolus,3.28,4.26,11.46,4.3,9.39,2.25,2.84,USA
seminolus,3.72,4.41,11.38,4.55,9.7,2.37,2.9,USA
seminolus,3.88,4.29,11.9,4.66,10.14,2.2,2.98,USA
seminolus,3.94,4.37,11.62,4.45,9.56,2.38,2.71,USA
seminolus,3.85,4.42,12.07,4.78,10.2,2.54,2.78,USA
seminolus,3.88,4.43,11.87,4.41,9.83,2.38,2.81,USA
seminolus,3.73,4.26,11.44,4.38,9.62,2.11,2.84,USA
seminolus,3.85,4.27,12.15,4.62,9.95,2.35,2.78,USA
seminolus,3.81,4.28,12.16,4.52,9.67,2.32,3.07,USA
seminolus,3.84,4.18,11.7,4.14,9.57,2.26,2.86,USA
seminolus,3.66,4.11,11.23,4.21,9.48,2.42,2.76,USA
seminolus,3.48,4.27,11.2,4.4,9.77,2.21,2.62,USA
pfeifferi,3.66,4.71,11.62,4.52,9.71,2.37,2.86,Cuba
