Collection,Number,Species,Sex,Country,Locality,LDA,Lacrimal  ,Posterior View,Dorsal View,PM4
AMNH,70282,Lasiurus borealis,M,USA,Connecticut,1,,,,
AMNH,93346,Lasiurus borealis,M,USA,Connecticut,1,1,1,1,1
AMNH,100253,Lasiurus borealis,M,USA,Connecticut,1,,,,
AMNH,134987,Lasiurus borealis,M,USA,Connecticut,1,,,,
AMNH,13952,Lasiurus borealis,F,USA,Florida,1,,,,
AMNH,125669,Lasiurus borealis,F,USA,Georgia,1,,,,
AMNH,148915,Lasiurus borealis,F,USA,Maine,1,1,1,1,1
AMNH,148942,Lasiurus borealis,F,USA,Maine,1,,,,
AMNH,175426,Lasiurus borealis,M,USA,Nebraska,1,,,,
AMNH,175499,Lasiurus borealis,F,USA,Nebraska,1,1,1,1,1
AMNH,42716,Lasiurus borealis,M,USA,New Jersey,1,1,1,1,1
AMNH,185295,Lasiurus borealis,F,USA,New Jersey,1,1,1,1,1
AMNH,2363,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,3866,Lasiurus borealis,M,USA,New York,1,1,1,,1
AMNH,41201,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,73628,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,98144,Lasiurus borealis,F,USA,New York,1,1,1,1,1
AMNH,139896,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,141104,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,164722,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,164724,Lasiurus borealis,M,USA,New York,1,1,1,1,1
AMNH,164725,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,164726,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,164727,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,164728,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,182653,Lasiurus borealis,M,USA,New York,1,,,,
AMNH,182654,Lasiurus borealis,F,USA,New York,1,1,1,1,1
AMNH,187035,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,212472,Lasiurus borealis,F,USA,New York,1,,,,
AMNH,996,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,998,Lasiurus borealis,M,USA,North Carolina,1,,,,
AMNH,999,Lasiurus borealis,F,USA,North Carolina,1,1,1,1,1
AMNH,1000,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,1001,Lasiurus borealis,M,USA,North Carolina,1,1,1,,1
AMNH,8273,Lasiurus borealis,F,USA,North Carolina,1,1,1,1,1
AMNH,8274,Lasiurus borealis,F,USA,North Carolina,1,,,,1
AMNH,8275,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,8278,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,8282,Lasiurus borealis,M,USA,North Carolina,1,,,,
AMNH,31175,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,114636,Lasiurus borealis,F,USA,North Carolina,1,,,,
AMNH,129183,Lasiurus borealis,M,USA,North Dakota,1,1,1,,1
AMNH,129185,Lasiurus borealis,M,USA,North Dakota,1,,,,
AMNH,129186,Lasiurus borealis,M,USA,North Dakota,1,,,,1
AMNH,129187,Lasiurus borealis,M,USA,North Dakota,1,,,,1
AMNH,129188,Lasiurus borealis,M,USA,North Dakota,1,,,,1
AMNH,129189,Lasiurus borealis,M,USA,North Dakota,1,,,,1
AMNH,129190,Lasiurus borealis,F,USA,North Dakota,1,,,,1
AMNH,129191,Lasiurus borealis,M,USA,North Dakota,1,,,,
AMNH,129192,Lasiurus borealis,F,USA,North Dakota,1,1,1,1,1
AMNH,129193,Lasiurus borealis,F,USA,North Dakota,1,1,1,1,1
AMNH,129194,Lasiurus borealis,M,USA,North Dakota,1,,,,
AMNH,129201,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129202,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129203,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129204,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129205,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129206,Lasiurus borealis,F,USA,North Dakota,1,,,,
AMNH,129207,Lasiurus borealis,F,USA,North Dakota,1,1,1,1,1
AMNH,129208,Lasiurus borealis,F,USA,North Dakota,1,1,1,1,1
AMNH,232169,Lasiurus borealis,F,USA,Ohio,1,1,1,,1
AMNH,258272,Lasiurus borealis,M,USA,Pennsylvania,1,,,,
AMNH,258275,Lasiurus borealis,M,USA,Pennsylvania,1,,,,
AMNH,258276,Lasiurus borealis,M,USA,Pennsylvania,1,1,1,1,1
AMNH,258277,Lasiurus borealis,F,USA,Pennsylvania,1,,,,
AMNH,258278,Lasiurus borealis,M,USA,Pennsylvania,1,,,,
AMNH,258279,Lasiurus borealis,F,USA,Pennsylvania,1,,,,
AMNH,258280,Lasiurus borealis,F,USA,Pennsylvania,1,1,1,1,1
AMNH,258281,Lasiurus borealis,F,USA,Pennsylvania,1,1,1,1,1
AMNH,258282,Lasiurus borealis,F,USA,Pennsylvania,1,1,1,1,1
AMNH,3217,Lasiurus borealis,M,USA,Texas,1,1,1,,1
AMNH,4803,Lasiurus borealis,M,USA,Texas,1,1,1,1,1
AMNH,5830,Lasiurus borealis,F,USA,Texas,1,,,,
AMNH,5832,Lasiurus borealis,M,USA,Texas,1,1,1,1,1
AMNH,8784,Lasiurus borealis,F,USA,Texas,1,1,1,1,
AMNH,31405,Lasiurus borealis,M,USA,Texas,1,,,,
AMNH,243891,Lasiurus borealis,M,USA,Texas,1,,,,
AMNH,93175,Lasiurus borealis,M,USA,Virginia,1,1,1,1,1
UF,281501,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,1,1,
UF,281502,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,,
UF,281503,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,
UF,281504,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,,
UF,281507,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,1
UF,281508,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,1
UF,281513,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,1
UF,281515,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,1,,
UF,281526,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,,1
UF,281532,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281534,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,1,1,
UF,281538,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281684,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,,
UF,281767,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,
UF,281789,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,1
UF,281795,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,1,1
UF,281803,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,1
UF,281809,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,1
UF,281830,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281834,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,,1,
UF,281835,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281835,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281836,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281850,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281852,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,,1,
UF,281853,Lasiurus minor,NA,Haiti,Trou Jean Paul,,,,,1
UF,281857,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,1,
UF,281858,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,,,,
UF,281869,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,1,1,
UF,281892,Lasiurus minor,NA,Haiti,Trou Jean Paul,1,1,,1,1
UF,281923,Lasiurus minor,NA,Haiti,Trou Jean Paul,,,,,1
